@RELATION ImageDataset

@ATTRIBUTE hue NUMERIC
@ATTRIBUTE saturation NUMERIC
@ATTRIBUTE value NUMERIC
@ATTRIBUTE area NUMERIC
@ATTRIBUTE class {wholegrain, groats, broken}

@DATA
18, 128, 172, 8378, wholegrain
20, 100, 161, 4318, wholegrain
19, 116, 156, 5460, wholegrain
21, 114, 179, 3740, wholegrain
21, 116, 132, 5831, wholegrain
21, 117, 133, 4847, wholegrain
20, 84, 139, 4576, wholegrain
20, 113, 154, 6942, wholegrain
23, 110, 155, 4750, wholegrain
19, 126, 158, 5700, wholegrain
21, 85, 184, 6150, wholegrain
26, 66, 190, 5252, wholegrain
22, 85, 192, 12496, wholegrain
19, 129, 162, 10725, wholegrain
20, 108, 172, 5712, wholegrain
20, 118, 171, 4515, wholegrain
22, 104, 152, 4585, wholegrain
22, 90, 153, 3990, wholegrain
20, 116, 165, 6068, wholegrain
90, 5, 103, 10080, wholegrain
50, 23, 33, 1430, wholegrain
20, 133, 149, 6683, wholegrain
20, 115, 173, 2739, wholegrain
22, 108, 177, 4914, wholegrain
23, 88, 145, 6533, wholegrain
19, 96, 152, 7470, wholegrain
20, 142, 154, 6512, wholegrain
21, 130, 163, 4726, wholegrain
21, 134, 146, 5846, wholegrain
21, 133, 155, 6204, wholegrain
19, 131, 158, 4840, wholegrain
21, 117, 153, 5254, wholegrain
22, 89, 177, 4165, wholegrain
20, 128, 157, 5382, wholegrain
17, 100, 146, 6407, wholegrain
19, 128, 147, 5382, wholegrain
20, 128, 149, 5772, wholegrain
21, 67, 160, 4902, wholegrain
21, 129, 164, 6342, wholegrain
19, 101, 137, 5928, wholegrain
19, 134, 160, 6380, wholegrain
19, 136, 158, 6400, wholegrain
21, 128, 169, 7011, wholegrain
19, 122, 152, 6678, wholegrain
19, 123, 114, 6510, wholegrain
20, 131, 150, 7614, wholegrain
20, 108, 172, 7575, wholegrain
22, 146, 148, 6556, wholegrain
23, 102, 168, 3744, wholegrain
19, 121, 158, 5576, wholegrain
20, 120, 166, 4760, wholegrain
20, 119, 170, 7314, wholegrain
20, 120, 161, 5400, wholegrain
19, 129, 128, 3564, wholegrain
20, 95, 153, 11680, wholegrain
22, 121, 150, 7770, wholegrain
22, 116, 156, 7014, wholegrain
20, 127, 156, 3978, wholegrain
21, 105, 138, 6240, wholegrain
21, 137, 147, 5520, wholegrain
21, 105, 141, 5376, wholegrain
22, 120, 144, 5382, wholegrain
23, 102, 175, 5850, wholegrain
20, 153, 133, 8280, wholegrain
20, 138, 120, 6642, wholegrain
22, 136, 137, 5148, wholegrain
20, 133, 142, 8424, wholegrain
20, 86, 163, 4788, wholegrain
22, 119, 152, 7350, wholegrain
13, 115, 149, 6165, wholegrain
22, 126, 150, 9628, wholegrain
19, 128, 138, 5364, wholegrain
22, 124, 163, 5412, wholegrain
21, 102, 172, 13348, wholegrain
21, 100, 178, 5440, wholegrain
20, 138, 146, 5054, wholegrain
20, 106, 163, 5891, wholegrain
20, 128, 155, 4726, wholegrain
20, 116, 167, 6512, wholegrain
22, 137, 160, 4953, wholegrain
21, 89, 190, 5040, wholegrain
20, 110, 148, 5967, wholegrain
20, 116, 169, 5289, wholegrain
21, 118, 156, 5624, wholegrain
20, 112, 161, 5166, wholegrain
20, 141, 155, 5986, wholegrain
18, 112, 148, 5904, wholegrain
21, 125, 141, 6110, wholegrain
24, 90, 161, 5282, wholegrain
20, 123, 129, 7353, wholegrain
20, 138, 176, 7788, wholegrain
19, 118, 147, 6006, wholegrain
20, 89, 141, 4719, wholegrain
23, 85, 177, 10325, wholegrain
20, 106, 149, 4752, wholegrain
18, 81, 139, 10370, wholegrain
21, 120, 164, 7614, wholegrain
22, 127, 159, 7626, wholegrain
23, 122, 182, 7348, wholegrain
22, 120, 145, 3960, wholegrain
22, 120, 164, 10934, wholegrain
21, 148, 159, 6355, wholegrain
21, 130, 151, 7958, wholegrain
21, 119, 169, 4838, wholegrain
25, 91, 149, 5616, wholegrain
23, 112, 139, 5434, wholegrain
19, 128, 155, 5920, wholegrain
23, 135, 125, 5499, wholegrain
22, 112, 171, 5538, wholegrain
19, 155, 110, 4329, wholegrain
23, 102, 177, 4917, wholegrain
21, 138, 142, 8976, wholegrain
19, 118, 147, 5698, wholegrain
23, 99, 144, 4795, wholegrain
19, 131, 169, 6674, wholegrain
20, 147, 123, 5586, wholegrain
19, 154, 137, 6080, wholegrain
23, 147, 175, 6279, wholegrain
19, 153, 155, 6080, wholegrain
23, 80, 160, 5130, wholegrain
19, 151, 142, 6123, wholegrain
19, 135, 145, 8106, wholegrain
21, 133, 153, 8064, wholegrain
21, 127, 155, 5699, wholegrain
22, 115, 159, 5848, wholegrain
19, 106, 174, 7820, wholegrain
21, 100, 158, 10248, wholegrain
20, 101, 146, 5577, wholegrain
24, 83, 123, 1560, wholegrain
47, 214, 31, 22737, wholegrain
21, 134, 175, 4080, wholegrain
20, 101, 159, 5360, wholegrain
19, 148, 152, 6680, wholegrain
19, 125, 147, 6424, wholegrain
22, 98, 164, 9894, wholegrain
22, 126, 176, 3503, wholegrain
21, 130, 163, 8344, wholegrain
23, 123, 160, 6768, wholegrain
20, 105, 155, 5320, wholegrain
20, 135, 142, 4572, wholegrain
22, 114, 185, 5412, wholegrain
20, 109, 117, 5217, wholegrain
23, 100, 192, 6640, wholegrain
22, 101, 151, 5986, wholegrain
21, 130, 137, 3924, wholegrain
22, 131, 121, 6762, wholegrain
22, 116, 123, 3729, wholegrain
21, 119, 188, 9912, wholegrain
22, 125, 145, 6724, wholegrain
21, 108, 158, 5544, wholegrain
19, 128, 164, 6120, wholegrain
22, 68, 154, 5934, wholegrain
21, 104, 194, 13184, wholegrain
21, 133, 151, 7602, wholegrain
21, 126, 178, 7350, wholegrain
21, 121, 141, 7938, wholegrain
23, 110, 160, 7740, wholegrain
19, 94, 174, 14322, wholegrain
19, 116, 150, 6478, wholegrain
21, 107, 160, 8249, wholegrain
22, 128, 158, 7168, wholegrain
20, 110, 170, 6080, wholegrain
22, 132, 164, 6248, wholegrain
18, 132, 158, 3360, wholegrain
20, 127, 156, 6191, wholegrain
21, 94, 155, 8250, wholegrain
23, 121, 169, 4640, wholegrain
20, 128, 147, 8001, wholegrain
20, 109, 141, 4026, wholegrain
22, 113, 169, 5655, wholegrain
23, 106, 182, 4524, wholegrain
21, 115, 106, 6120, wholegrain
20, 81, 164, 4978, wholegrain
24, 113, 151, 6650, wholegrain
21, 136, 152, 6972, wholegrain
22, 138, 170, 4428, wholegrain
20, 124, 152, 7544, wholegrain
20, 101, 157, 5586, wholegrain
22, 105, 163, 6222, wholegrain
21, 126, 150, 5560, wholegrain
21, 126, 168, 5548, wholegrain
23, 109, 152, 4998, wholegrain
19, 129, 152, 6045, wholegrain
23, 113, 147, 4428, wholegrain
21, 148, 138, 4284, wholegrain
20, 121, 116, 5577, wholegrain
20, 128, 159, 6642, wholegrain
24, 93, 129, 6942, wholegrain
21, 113, 158, 5986, wholegrain
20, 118, 149, 6216, wholegrain
22, 140, 155, 7093, wholegrain
24, 76, 144, 5082, wholegrain
19, 132, 159, 6437, wholegrain
22, 121, 152, 7952, wholegrain
20, 106, 157, 4921, wholegrain
20, 127, 157, 7228, wholegrain
20, 77, 183, 5986, wholegrain
20, 88, 182, 3388, wholegrain
22, 112, 144, 3600, wholegrain
21, 93, 167, 5547, wholegrain
21, 109, 180, 7154, wholegrain
23, 94, 160, 2538, wholegrain
21, 122, 165, 6885, wholegrain
17, 118, 93, 11172, wholegrain
22, 123, 174, 4256, wholegrain
21, 72, 145, 3232, wholegrain
20, 105, 156, 4750, wholegrain
